Number;City
01;Wien
02142;Gattendorf
02143;Kittsee
02144;Deutsch Jahrndorf
02145;Prellenkirchen
02146;Nickelsdorf, Leitha
02147;Zurndorf
02160;Jois
02162;Bruck a.d. Leitha
02163;Petronell
02164;Rohrau
02165;Hainburg a.d. Donau
02166;Parndorf
02167;Neusiedl am See
02168;Mannersdorf am Leithagebirge
02169;Trautmannsdorf a.d. Leitha
02172;Frauenkirchen
02173;Gols am Neusiedlersee
02174;Wallern im Bgl.
02175;Apetlon
02176;Tadten
02177;Podersdorf am See
02212;Orth a.d. Donau
02213;Lassee, NÖ
02214;Kopfstetten
02215;Probstdorf
02216;Leopoldsdorf im Marchfelde
0222;Wien
02230;Schwadorf bei Wien
02231;Purkersdorf
02232;Fischamend
02233;Preßbaum
02234;Gramatneusiedl
02235;Maria Lanzendorf
02236;Mödling
02237;Gaaden
02238;Kaltenleutgeben
02239;Breitenfurt
02242;St. Andrä-Wördern
02243;Klosterneuburg
02244;Langenzersdorf
02245;Wolkersdorf, Bezirk Mistelbach
02246;Gerasdorf bei Wien
02247;Deutsch Wagram
02248;Markgrafneusiedl
02249;Großenzersdorf
02252;Baden bei Wien
02253;Oberwaltersdorf
02254;Ebreichsdorf
02255;Deutsch Brodersdorf
02256;Leobersdorf
02257;Klausen-Leopoldsdorf
02258;Alland
02259;Münchendorf
02262;Korneuburg
02263;Großrußbach
02264;Rückersdorf-Harmannsdorf
02265;Hausleiten
02266;Stockerau
02267;Sierndorf, Bezirk Korneuburg
02268;Großmugl
02269;Niederfellabrunn
02271;Ried am Riederberg
02272;Tulln
02273;Tulbing
02274;Sieghartskirchen
02275;Atzenbrugg
02276;Reidling
02277;Zwentendorf
02278;Absdorf
02279;Kirchberg am Wagram
02282;Gänserndorf
02283;Angern a.d. March
02284;Oberweiden
02285;Marchegg
02286;Obersiebenbrunn
02287;Straßhof an der Nordbahn
02288;Auersthal
02289;Matzen
02522;Laa a.d. Thaya
02523;Kirchstetten, Bez. Mistelbach
02524;Kautendorf
02525;Gnadendorf
02526;Stronsdorf
02527;Wulzeshofen
02532;Zistersdorf
02533;Neusiedl a.d. Zaya
02534;Niedersulz
